,Similarity,Emoji
0,0.9245167,😏
1,0.919427,😅
2,0.91158783,🤪
3,0.9098267,🤭
4,0.89399827,🤨
5,0.87401426,😁
6,0.868085,🙈
7,0.8664661,🧐
8,0.8569919,😉
9,0.85602766,🤔
10,0.8461664,😃
11,0.84399116,😀
12,0.816616,😜
13,0.8138188,😄
14,0.80797553,😎
15,0.8010983,😂
16,0.7996918,👀
17,0.7910867,🤣
18,0.7888398,🙂
19,0.769175,😆
20,0.7298392,🤡
