,Similarity,Emoji
0,0.92362213,🌺
1,0.9087172,🌷
2,0.90153456,🌻
3,0.8876967,🌸
4,0.86929595,🌼
5,0.8438965,🦋
6,0.8100589,🌿
7,0.78586364,🌄
8,0.78327954,🌞
9,0.7811833,🌹
10,0.77997535,💐
11,0.7349653,🥀
12,0.73105067,💌
13,0.71776605,🍁
14,0.6973242,🌧
15,0.6918512,🙏
16,0.66818225,☕
17,0.6583929,🤲
18,0.6578455,📩
19,0.5487833,🚩
