,Similarity,Emoji
0,0.91194224,😸
1,0.8941107,😼
2,0.8878708,😦
3,0.86653274,😧
4,0.86380255,😽
5,0.8570986,🤌
6,0.8551364,🤟
7,0.8537568,😾
8,0.8536352,😙
9,0.8480749,🤏
10,0.8470558,🤙
11,0.84619063,😗
12,0.84307456,😚
13,0.8421773,😛
14,0.83704644,🤐
15,0.81965774,🤒
16,0.81341994,💅
17,0.8104124,😺
18,0.8081951,🔪
19,0.79921186,☺
20,0.7989532,☹
21,0.79803574,🌝
22,0.7959696,🤚
23,0.78808796,😿
24,0.7737584,🖕
25,0.7587612,💃
26,0.75676835,🫂
27,0.7521561,🏃
28,0.7498872,👅
29,0.74043196,🙆
30,0.73813415,🙋
31,0.73465705,🐷
32,0.7172897,🗿
33,0.7106749,✋
34,0.7089288,👻
35,0.70001143,💋
36,0.6933732,🛐
37,0.67619586,😘
38,0.6746032,💤
39,0.6699593,🤑
40,0.6583291,🚮
41,0.63025546,🕷
42,0.5952523,🚬
43,0.54341155,💯
