,Similarity,Emoji
0,0.9442978,🎧
1,0.9015773,🔊
2,0.8782623,🔛
3,0.86708045,📷
4,0.86276305,🎬
5,0.8343096,📻
6,0.82858694,🎥
7,0.8197211,📸
8,0.7829539,©
9,0.7825365,🌟
10,0.7530358,🎵
11,0.60601866,🎶
12,0.5714098,🌙
