,Similarity,Emoji
0,0.86822486,🍾
1,0.851802,🎊
2,0.82435685,🥂
3,0.80007136,🤶
4,0.7966468,🎉
5,0.78396004,🎁
6,0.76044786,🎈
7,0.7412664,🌲
8,0.74095535,🎂
9,0.7358581,🥳
10,0.7042407,🍻
11,0.69120276,🎅
12,0.6864246,🎄
13,0.49482992,👏
