,Similarity,Emoji
0,0.822875,🟣
1,0.7924293,🚧
2,0.77919304,🟨
3,0.7731339,🔶
4,0.7731019,🔘
5,0.772781,🚑
6,0.7664804,🚒
7,0.753714,🟥
8,0.7320913,➖
9,0.7280899,⛔
10,0.72616625,⚫
11,0.72434187,🔵
12,0.72218573,🦠
13,0.7148553,⚪
14,0.7081143,🚥
15,0.7048421,🚓
16,0.70245135,🟢
17,0.6909465,🟡
18,0.6649554,🛑
19,0.6399915,⌚
20,0.615727,🚨
21,0.52131706,💉
22,0.3493034,🕯
