,Similarity,Emoji
0,0.8527186,🙄
1,0.827619,😧
2,0.82359254,🥸
3,0.8038436,🥴
4,0.7946445,🤕
5,0.7900208,😦
6,0.78811336,😵
7,0.7865944,😂
8,0.7822625,😒
9,0.77314055,🤨
10,0.76121813,😠
11,0.75534487,😤
12,0.7552906,🙃
13,0.74858296,🖕
14,0.7468113,💁
15,0.7439193,🤥
16,0.7431831,😑
17,0.73900497,🙊
18,0.7359937,😐
19,0.73400736,🤬
20,0.73285425,😶
21,0.7319845,😾
22,0.72864693,🤦
23,0.7284755,🤷
24,0.7198826,🤐
25,0.7186562,😬
26,0.7167092,💀
27,0.70638037,🤔
28,0.7054626,🗿
29,0.7034409,🤌
30,0.7019485,🤯
31,0.69368947,🥱
32,0.6930766,👿
33,0.69234073,🤣
34,0.6911353,🙉
35,0.68541384,🤏
36,0.6832013,😯
37,0.67159545,🤮
38,0.6688969,🙈
39,0.668278,🧐
40,0.66332257,👎
41,0.6610397,😡
42,0.6569507,🙆
43,0.65384126,👀
44,0.6516213,🥵
45,0.64881265,🤢
46,0.64414394,🔪
47,0.638236,😳
48,0.6256629,🚮
49,0.62103534,😲
50,0.6136812,😈
51,0.6131755,😮
52,0.61162347,🦦
53,0.60923296,😱
54,0.60823524,💩
55,0.605421,🔫
56,0.59475327,🤡
57,0.58793736,😹
58,0.568015,🥶
59,0.56254,🌚
60,0.5473869,🚬
61,0.39246356,🚀
